id,fiscal_service_id,document_code,document_name,is_mandatory,applies_to,file_types,max_size_mb,validity_months,display_order,created_at
RD-00001,T-001,T-001-DOC-001,"Documento original a legalizar, Documento de identidad del solicitante",True,both,"{jpg,png,pdf}",10,120,1,2025-09-29T11:00:28.893598Z
RD-00002,T-001,T-001-DOC-002,Documento 2,True,both,"{pdf,jpg,png}",10,24,2,2025-09-29T11:00:28.893598Z
RD-00003,T-001,T-001-DOC-003,Documento 3,True,both,"{pdf,jpg,png}",10,24,3,2025-09-29T11:00:28.893598Z
RD-00004,T-002,T-002-DOC-004,"Escrito notariado original, Documento de identidad del solicitante, Poder notarial si actúa en representación",True,both,"{jpg,png,pdf}",10,120,4,2025-09-29T11:00:28.893598Z
RD-00005,T-002,T-002-DOC-005,Documento 5,True,both,"{pdf,jpg,png}",10,24,5,2025-09-29T11:00:28.893598Z
RD-00006,T-002,T-002-DOC-006,Documento 6,True,both,"{pdf,jpg,png}",10,24,6,2025-09-29T11:00:28.893598Z
RD-00007,T-003,T-003-DOC-007,"Diploma o título original, Documento de identidad, Certificado de estudios",True,both,"{jpg,png,pdf}",10,120,7,2025-09-29T11:00:28.893598Z
RD-00008,T-003,T-003-DOC-008,Documento 8,True,both,"{pdf,jpg,png}",10,24,8,2025-09-29T11:00:28.893598Z
RD-00009,T-003,T-003-DOC-009,Documento 9,True,both,"{pdf,jpg,png}",10,24,9,2025-09-29T11:00:28.893598Z
RD-00010,T-004,T-004-DOC-010,"Documento mercantil original, Documento de identidad del solicitante",True,both,"{jpg,png,pdf}",10,120,10,2025-09-29T11:00:28.893598Z
RD-00011,T-004,T-004-DOC-011,Documento 11,True,both,"{pdf,jpg,png}",10,24,11,2025-09-29T11:00:28.893598Z
RD-00012,T-004,T-004-DOC-012,Documento 12,True,both,"{pdf,jpg,png}",10,24,12,2025-09-29T11:00:28.893598Z
RD-00013,T-005,T-005-DOC-013,"Documento de identidad, Fotografía",True,both,"{jpg,png,pdf}",10,120,13,2025-09-29T11:00:28.893598Z
RD-00014,T-005,T-005-DOC-014,Documento 14,True,both,"{pdf,jpg,png}",10,24,14,2025-09-29T11:00:28.893598Z
RD-00015,T-005,T-005-DOC-015,Documento 15,True,both,"{pdf,jpg,png}",10,24,15,2025-09-29T11:00:28.893598Z
RD-00016,T-006,T-006-DOC-016,"Pasaporte actual, Documento de identidad",True,both,"{jpg,png,pdf}",10,120,16,2025-09-29T11:00:28.893598Z
RD-00017,T-006,T-006-DOC-017,Documento 17,True,both,"{pdf,jpg,png}",10,24,17,2025-09-29T11:00:28.893598Z
