id,fiscal_service_id,keyword,language_code,weight,is_auto_generated,created_at
SK-00001,T-001,asunttos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00002,T-001,consular,es,1,True,2025-09-29T12:09:56.011222Z
SK-00003,T-001,cooperación,es,1,True,2025-09-29T12:09:56.011222Z
SK-00004,T-001,documentos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00005,T-001,exteriores,es,1,True,2025-09-29T12:09:56.011222Z
SK-00006,T-001,legalización,es,1,True,2025-09-29T12:09:56.011222Z
SK-00007,T-001,sector,es,1,True,2025-09-29T12:09:56.011222Z
SK-00008,T-001,servicio,es,1,True,2025-09-29T12:09:56.011222Z
SK-00009,T-001,affaires,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00010,T-001,consulaire,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00011,T-001,coopération,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00012,T-001,documents,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00013,T-001,étrangères,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00014,T-001,légalisation,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00015,T-001,secteur,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00016,T-001,service,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00017,T-001,affairs,en,1,True,2025-09-29T12:09:56.011222Z
SK-00018,T-001,consular,en,1,True,2025-09-29T12:09:56.011222Z
SK-00019,T-001,cooperation,en,1,True,2025-09-29T12:09:56.011222Z
SK-00020,T-001,documents,en,1,True,2025-09-29T12:09:56.011222Z
SK-00021,T-001,foreign,en,1,True,2025-09-29T12:09:56.011222Z
SK-00022,T-001,legalization,en,1,True,2025-09-29T12:09:56.011222Z
SK-00023,T-001,sector,en,1,True,2025-09-29T12:09:56.011222Z
SK-00024,T-001,service,en,1,True,2025-09-29T12:09:56.011222Z
SK-00025,T-002,asunttos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00026,T-002,consular,es,1,True,2025-09-29T12:09:56.011222Z
SK-00027,T-002,cooperación,es,1,True,2025-09-29T12:09:56.011222Z
SK-00028,T-002,escritos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00029,T-002,exteriores,es,1,True,2025-09-29T12:09:56.011222Z
SK-00030,T-002,legalización,es,1,True,2025-09-29T12:09:56.011222Z
SK-00031,T-002,notariados,es,1,True,2025-09-29T12:09:56.011222Z
SK-00032,T-002,sector,es,1,True,2025-09-29T12:09:56.011222Z
SK-00033,T-002,servicio,es,1,True,2025-09-29T12:09:56.011222Z
SK-00034,T-002,affaires,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00035,T-002,consulaire,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00036,T-002,coopération,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00037,T-002,actes,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00038,T-002,étrangères,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00039,T-002,légalisation,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00040,T-002,notariés,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00041,T-002,secteur,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00042,T-002,service,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00043,T-002,affairs,en,1,True,2025-09-29T12:09:56.011222Z
SK-00044,T-002,consular,en,1,True,2025-09-29T12:09:56.011222Z
SK-00045,T-002,cooperation,en,1,True,2025-09-29T12:09:56.011222Z
SK-00046,T-002,documents,en,1,True,2025-09-29T12:09:56.011222Z
SK-00047,T-002,foreign,en,1,True,2025-09-29T12:09:56.011222Z
SK-00048,T-002,legalization,en,1,True,2025-09-29T12:09:56.011222Z
SK-00049,T-002,notarized,en,1,True,2025-09-29T12:09:56.011222Z
SK-00050,T-002,sector,en,1,True,2025-09-29T12:09:56.011222Z
SK-00051,T-002,service,en,1,True,2025-09-29T12:09:56.011222Z
SK-00052,T-003,académicos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00053,T-003,asunttos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00054,T-003,consular,es,1,True,2025-09-29T12:09:56.011222Z
SK-00055,T-003,cooperación,es,1,True,2025-09-29T12:09:56.011222Z
SK-00056,T-003,diplomas,es,1,True,2025-09-29T12:09:56.011222Z
SK-00057,T-003,exteriores,es,1,True,2025-09-29T12:09:56.011222Z
SK-00058,T-003,legalización,es,1,True,2025-09-29T12:09:56.011222Z
SK-00059,T-003,sector,es,1,True,2025-09-29T12:09:56.011222Z
SK-00060,T-003,servicio,es,1,True,2025-09-29T12:09:56.011222Z
SK-00061,T-003,títulos,es,1,True,2025-09-29T12:09:56.011222Z
SK-00062,T-003,académiques,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00063,T-003,affaires,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00064,T-003,consulaire,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00065,T-003,coopération,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00066,T-003,diplômes,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00067,T-003,étrangères,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00068,T-003,légalisation,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00069,T-003,secteur,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00070,T-003,service,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00071,T-003,titres,fr,1,True,2025-09-29T12:09:56.011222Z
SK-00072,T-003,academic,en,1,True,2025-09-29T12:09:56.011222Z
SK-00073,T-003,affairs,en,1,True,2025-09-29T12:09:56.011222Z
SK-00074,T-003,consular,en,1,True,2025-09-29T12:09:56.011222Z
SK-00075,T-003,cooperation,en,1,True,2025-09-29T12:09:56.011222Z
SK-00076,T-003,degrees,en,1,True,2025-09-29T12:09:56.011222Z
SK-00077,T-003,diplomas,en,1,True,2025-09-29T12:09:56.011222Z
SK-00078,T-003,foreign,en,1,True,2025-09-29T12:09:56.011222Z
SK-00079,T-003,legalization,en,1,True,2025-09-29T12:09:56.011222Z
