id,fiscal_service_id,step_number,applies_to,estimated_duration_minutes,location_address,office_hours,requires_appointment,can_be_done_online,additional_cost,required_documents,created_at
SP-00001,T-001,1,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00002,T-001,2,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00003,T-001,3,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00004,T-001,4,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00005,T-001,5,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00006,T-001,6,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00007,T-001,7,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00008,T-001,8,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00009,T-001,9,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00010,T-002,1,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00011,T-002,2,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00012,T-002,3,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00013,T-002,4,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00014,T-002,5,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00015,T-002,6,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00016,T-002,7,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00017,T-002,8,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00018,T-002,9,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00019,T-002,10,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00020,T-002,11,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00021,T-002,12,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00022,T-003,1,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00023,T-003,2,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00024,T-003,3,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00025,T-003,4,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00026,T-003,5,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00027,T-003,6,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00028,T-003,7,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00029,T-003,8,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00030,T-003,9,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00031,T-004,1,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00032,T-004,2,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00033,T-004,3,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00034,T-004,4,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00035,T-004,5,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00036,T-004,6,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00037,T-004,7,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00038,T-004,8,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00039,T-004,9,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00040,T-004,10,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00041,T-004,11,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00042,T-004,12,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00043,T-005,1,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00044,T-005,2,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00045,T-005,3,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00046,T-005,4,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00047,T-005,5,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00048,T-005,6,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00049,T-005,7,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00050,T-005,8,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00051,T-005,9,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00052,T-005,10,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00053,T-005,11,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00054,T-005,12,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00055,T-006,1,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00056,T-006,2,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00057,T-006,3,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00058,T-006,4,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00059,T-006,5,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00060,T-006,6,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
SP-00061,T-006,7,both,,,,False,False,0.0,{},2025-09-29T12:09:56.011222Z
